Country_Name,Alpha_3_Code,Region_Code
Antigua and Barbuda[2],ATG,Caribbean
Bahamas[2],BHS,Caribbean
Barbados[3],BRB,Caribbean
Belize[4],BLZ,Central America
Cook Islands[2]14,COK,Oceania
Dominica[2],DMA,Caribbean
Guyana[6],GUY,South America
Jamaica[10],JAM,Caribbean
Liberia[2],LBR,Africa
Papua New Guinea[14][15],PNG,Oceania
Saint Kitts and Nevis[17],KNA,Caribbean
Saint Lucia[2],LCA,Caribbean
Saint Vincent and the Grenadines[18],VCT,Caribbean
Sierra Leone[2],SLE,Africa
Trinidad and Tobago[2],TTO,Caribbean
Australia,AUS,Oceania
New Zealand[1],NZL,Oceania
United Kingdom,GBR,Europe
United States,USA,North America/Oceania
India,IND,Asia
Canada,CAN,North America
Grenada,GRD,Caribbean
